date,acceleration,x,y,z
07/22/2016 01:11:48.031163,-0.009674,-0.05957,-0.183594,1.031738 
07/22/2016 01:11:48.031633,-0.010544,0.0,0.0,0.0 
07/22/2016 01:11:48.036934,-0.010178,0.0,0.0,0.0 
07/22/2016 01:11:48.037408,-0.009827,0.0,0.0,0.0 
07/22/2016 01:11:48.037867,-0.00911,0.0,0.0,0.0 
07/22/2016 01:11:48.048216,-0.009277,-0.062988,-0.188477,1.030518 
07/22/2016 01:11:48.048691,-0.010178,0.0,0.0,0.0 
07/22/2016 01:11:48.049134,-0.010559,0.0,0.0,0.0 
07/22/2016 01:11:48.050692,-0.0112,0.0,0.0,0.0 
07/22/2016 01:11:48.051165,-0.013519,0.0,0.0,0.0 
07/22/2016 01:11:48.052878,-0.010742,-0.061523,-0.188232,1.032471 
07/22/2016 01:11:48.053361,-0.012009,0.0,0.0,0.0 
07/22/2016 01:11:48.053802,-0.011688,0.0,0.0,0.0 
07/22/2016 01:11:48.059005,-0.010376,0.0,0.0,0.0 
07/22/2016 01:11:48.059479,-0.010742,0.0,0.0,0.0 
07/22/2016 01:11:48.060149,-0.011688,-0.059814,-0.186035,1.033447 
07/22/2016 01:11:48.070525,-0.009415,0.0,0.0,0.0 
07/22/2016 01:11:48.071001,-0.01059,0.0,0.0,0.0 
07/22/2016 01:11:48.071480,-0.011383,0.0,0.0,0.0 
07/22/2016 01:11:48.072963,-0.011002,0.0,0.0,0.0 
07/22/2016 01:11:48.073678,-0.011078,-0.060791,-0.186768,1.03125 
07/22/2016 01:11:48.074124,-0.009995,0.0,0.0,0.0 
07/22/2016 01:11:48.075621,-0.010605,0.0,0.0,0.0 
07/22/2016 01:11:48.076091,-0.010376,0.0,0.0,0.0 
07/22/2016 01:11:48.076528,-0.009842,0.0,0.0,0.0 
07/22/2016 01:11:48.081932,-0.011139,-0.060303,-0.185791,1.031006 
07/22/2016 01:11:48.082406,-0.009522,0.0,0.0,0.0 
07/22/2016 01:11:48.083975,-0.009033,0.0,0.0,0.0 
07/22/2016 01:11:48.084472,-0.009628,0.0,0.0,0.0 
07/22/2016 01:11:48.084920,-0.011643,0.0,0.0,0.0 
07/22/2016 01:11:48.086652,-0.011048,-0.060547,-0.185059,1.028564 
07/22/2016 01:11:48.087128,-0.009506,0.0,0.0,0.0 
